# LAMMPS data file written by OVITO Basic 3.7.10
4806 atoms
10 atom types
0.0 34.86 xlo xhi
0.0 34.86 ylo yhi
0.0 34.86 zlo zhi

Masses

1 15.9994  # 1
2 1.00794  # 2
3 12.0107  # 3
4 1.00794  # 4
5 12.0107  # 5
6 1.00794  # 6
7 12.0107  # 7
8 15.9994  # 8
9 12.0107  # 9
10 15.9994  # 10

Atoms  # full

1 1 1 0.0 2.13 2.326 2.098
2 1 2 0.0 1.855 1.49 2.526
3 1 2 0.0 2.562 1.977 1.292
4 1 1 0.0 0.035 3.941 1.522
5 1 2 0.0 0.064 4.028 0.548
6 1 2 0.0 0.844 3.414 1.679
7 1 1 0.0 -0.076 6.056 3.182
8 1 2 0.0 -0.042 5.276 2.59
9 1 2 0.0 0.726 5.895 3.72
10 1 1 0.0 9.294 9.754 2.167
11 1 2 0.0 8.775 9.148 2.732
12 1 2 0.0 10.041 9.173 1.917
13 1 1 0.0 -0.16 8.233 1.562
14 1 2 0.0 -0.136 7.441 2.136
15 1 2 0.0 0.689 8.647 1.815
16 1 1 0.0 9.682 2.258 9.401
17 1 2 0.0 9.961 1.414 8.993
18 1 2 0.0 9.111 1.926 10.124
19 1 1 0.0 11.616 3.87 10.398
20 1 2 0.0 10.872 3.329 10.062
21 1 2 0.0 12.361 3.337 10.053
22 1 1 0.0 11.591 6.001 8.725
23 1 2 0.0 11.599 5.286 9.393
24 1 2 0.0 11.607 6.772 9.328
25 1 1 0.0 2.164 9.42 9.608
26 1 2 0.0 2.671 8.813 9.032
27 1 2 0.0 1.424 8.841 9.88
28 1 1 0.0 11.561 8.102 10.429
29 1 2 0.0 11.473 8.107 11.404
30 1 2 0.0 10.768 8.623 10.188
31 1 1 0.0 1.43 0.165 3.545
32 1 2 0.0 1.85 0.192 4.428
33 1 2 0.0 0.482 0.164 3.786
34 1 1 0.0 2.835 11.711 5.881
35 1 2 0.0 2.342 11.666 6.725
36 1 2 0.0 3.315 10.859 5.909
37 1 1 0.0 1.42 11.595 8.194
38 1 2 0.0 0.443 11.54 8.168
39 1 2 0.0 1.632 10.812 8.739
40 1 1 0.0 10.288 0.167 3.657
41 1 2 0.0 9.947 -0.554 3.091
42 1 2 0.0 10.065 0.928 3.083
43 1 1 0.0 8.773 -0.1 5.9
44 1 2 0.0 9.386 -0.01 5.143
45 1 2 0.0 8.281 0.741 5.805
46 1 1 0.0 10.307 11.492 8.193
47 1 2 0.0 9.764 11.432 7.382
48 1 2 0.0 9.985 10.704 8.674
49 1 1 0.0 3.414 1.389 11.555
50 1 2 0.0 4.309 1.776 11.467
51 1 2 0.0 3.63 0.437 11.629
52 1 1 0.0 5.774 2.695 -0.212
53 1 2 0.0 6.658 2.281 -0.154
54 1 2 0.0 5.815 3.319 0.542
55 1 1 0.0 8.179 1.456 -0.131
56 1 2 0.0 8.03 0.49 -0.081
57 1 2 0.0 8.72 1.597 0.672
58 1 1 0.0 3.642 10.344 11.686
